"Refs","Value","Footprint","Qty","DNP"
"C1","10uF","Capacitor_THT:CP_Radial_D12.5mm_P7.50mm","1",""
"C2","680nF","Capacitor_THT:C_Axial_L12.0mm_D6.5mm_P20.00mm_Horizontal","1",""
"P1","IN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"P2","OUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"P3","POWER","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"P4","CONN_2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R1","1.5K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2","1.5K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R3","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R4","47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"U1","ECC83","Footprints:Valve_ECC-83-2","1",""
